Company ID,Company Name,Total Jobs,Total CVs,Total Revenue
7717219,RRCA - Roofing & Reconstruction Contractors Of America - Naples,0,0,0
7717175,HPM Building Supply,0,0,0
7724279,Mr Vent Ltd,0,0,0
3849052,KE Outdoor Design USA,1,0,0
3843611,Johns Manville,10,3,39600
7717193,Kodiak Roofing And Waterproofing,0,0,0
7502870,Metromont Corporation,0,0,0
7717158,AAA Roofing And Waterproofing LLC,0,0,0
7717165,Cleary Building Corp.,0,0,0
3845267,PGT Innovations,2,2,0
5662375,CIAT France,0,0,0
3843966,Dash Door & Glass,1,0,0
3946548,Bone Dry Roofing,2,0,0
7675228,Fundermax Europe,0,0,0
3844215,SPS Corporation,20,1,0
7669417,Inline Fiberglass Ltd.,0,0,0
3842754,Lonza,1,0,3.13
7669255,Star Building Materials Calgary,0,0,0
3843698,Cascadia Windows & Doors,3,3,0
7668816,Fundermax North America,2,0,34200
3845146,Pagnotta Industries,0,0,0
7668502,Xella Group,3,0,35000
7717166,Courtney Inc.,0,0,0
7717159,Able Roofing,0,0,0
3844446,McLaren Engineering Group,1,0,0
3855618,TRU Architectural,9,0,0
7651282,Vestacon Limited,2,0,0
3843275,Errigal,5,0,0
3843805,Elicc Americas Corporation,29,5,0
3843457,Continental Glass Systems LLC,0,0,0
3843629,O&S Engineers & Architects,0,0,0
7669336,Loewen Windows,0,0,0
3844160,JEI Structural Engineering,0,0,0
3844633,Burns & McDonnell,15,2,0
7717168,Harness Roofing & Waterproofing Inc.,0,0,0
3845861,Modus Structures Inc,8,0,76000
3860911,Daikin Applied Americas,16,2,0
7598970,Sutter Roofing Company,0,0,0
3848589,Pro Steel Engineering,5,0,24000
3843207,Lawtech Group Ltd,12,0,0
3856755,Technical Glass Products,1,0,0
3843702,O&G Industries,1,0,0
3842796,Mitrex - Building-Integrated Solar Technology,5,0,0
3849004,StructureCast,2,0,38400
3848002,Cadeploy,1,0,0
3847555,Norstar Windows & Doors Ltd.,0,0,0
7638171,CADeploy,1,0,0
7637213,Colorado Window Systems Inc,1,0,0
3843050,Inhabit Group,26,0,22447.6
3845556,HOLLYWOOD WOODWORK,2,0,0
3846699,Gilbane Building Company,8,3,0
3843613,Verval Ltée.,5,0,0
3843240,TKL Group,12,0,43600
3894182,Crown,4,0,9720
7651001,Peak Construction Group,0,0,0
3896321,Verval Ltée,3,0,0
7634838,Tri-Krete Limited,1,0,0
7635120,MMY Group | MMY Global | MMY US,0,0,0
7634364,Alumet Systems (UK) Ltd,0,0,0
7636856,Crown Roofing & Cladding Ltd,1,0,0
7634040,Maine Manufactured Housing Board,1,0,0
3844619,FullStack Modular,71,0,676152
3844669,Zak Exhibitions & Conferences,53,0,462752
7637146,Verval Ltd.,5,0,0
7633738,C.L. Burks Commercial Roofing,0,0,0
7637237,Parich Roofing,0,0,0
7633132,Daskoney Properties LLC,0,0,0
3843223,BRETTON ARCHITECTURAL LIMITED,2,0,0
7633130,homeD Modular,1,0,0
7633233,Grupo Bimbo UK Foodservice,1,0,0
7633126,Dunn Global,0,0,0
3844535,KBS Builders,1,0,0
7632954,Pohl Metal Systems GmbH,3,0,0
3843318,POHL FACADE DIVISION,5,0,26800
7633131,Dunn Global Ltd.,1,0,0
3843174,Stack Modular,2,0,35000
7632426,Nedlaw Group of Companies,1,0,0
7632425,Nedlaw Living Walls,1,0,0
3842837,Nedlaw Group,7,1,0
7632256,Kirby Nagelhout Construction,0,0,0
7632036,The Bryer Company,0,0,0
3846445,Architectural Profiles Ltd,1,0,0
7631597,MTW ARCHITECTURAL LIMITED,2,0,7000
3845175,MTW Architectural,5,0,19000
3846411,Keller minimal windows®,1,0,0
3848838,White Cap,5,0,0
3843129,"Architectural Wall Systems, Inc.",8,0,20000
7633129,YPO,1,0,0
7608885,Tark Thermal Solutions,0,0,0
3842522,Conneely Group,5,2,0
5664219,Wates Group,16,0,10575
3842699,MAC Roofing and Contracting,59,0,94505
7608868,Motivair By Schneider Electric,0,0,0
7604345,Robson Communities,0,0,0
7608845,Daikin Applied Europe,0,0,0
3846251,Pella Corporation,14,0,27200
3846253,ROCKWOOL Group,1,0,0
7608816,Boreas,0,0,0
3848123,ROOMI GROUP CORPORATION,0,0,0
3847260,Swet Construction Group,0,0,0
3845185,National Concrete Accessories,4,2,0
4980043,Flynn Canada Ltd.,2,2,0
7633741,C.L. Burks Construction,1,0,0
3857663,Nedlaw Roofing,3,0,0
7591475,NorthC Datacenters Deutschland,0,0,0
3845252,Flynn Group Of Companies,2,0,12600
3846710,Cushman & Wakefield,4,1,0
3842512,Gamma USA,30,2,0
3845520,Fabcon Precast,1,1,0
7586304,Liapor GmbH & Co. KG,0,0,0
6694709,Bensonwood,0,0,0
7586292,DECLERCQ STORTBETON,0,0,0
7586274,GODELMANN GmbH & Co. KG,0,0,0
5352945,Cleveland-Cliffs,0,0,0
